sample_id,trade_date,symbol,prev_close
TRN001,2000-01-01,ANON001.SZ,5.87
TRN002,2000-01-02,ANON002.SZ,11.83
TRN003,2000-01-03,ANON003.SZ,11.42
TRN004,2000-01-04,ANON004.SH,9.85
TRN005,2000-01-05,ANON005.SH,42.09
TRN006,2000-01-06,ANON006.SZ,17.94
TRN007,2000-01-07,ANON007.SZ,21.68
TRN008,2000-01-08,ANON008.SZ,24.23
TRN009,2000-01-09,ANON009.SH,9.88
TRN010,2000-01-10,ANON010.SH,16.94
TRN011,2000-01-11,ANON011.SZ,19.94
TRN012,2000-01-12,ANON012.SZ,95.05
TRN013,2000-01-13,ANON013.SH,8.64
TRN014,2000-01-14,ANON014.SH,12.75
