datetime,sym,price,size,bidorderid,askorderid
2000-01-09 09:15:07.76,ANON009.SH,9.31,200.0,84268,0
2000-01-09 09:15:48.01,ANON009.SH,8.98,6000.0,106681,0
2000-01-09 09:18:07.99,ANON009.SH,8.89,50000.0,0,86753
2000-01-09 09:25:00.58,ANON009.SH,9.95,1500.0,160565,13272
2000-01-09 09:25:00.58,ANON009.SH,9.95,200.0,160565,16567
2000-01-09 09:25:00.58,ANON009.SH,9.95,1800.0,160610,16567
2000-01-09 09:25:00.58,ANON009.SH,9.95,300.0,160610,127183
2000-01-09 09:25:00.58,ANON009.SH,9.95,100.0,160640,127183
2000-01-09 09:25:00.58,ANON009.SH,9.95,900.0,160640,156906
2000-01-09 09:25:00.58,ANON009.SH,9.95,300.0,160657,156906
2000-01-09 09:25:00.58,ANON009.SH,9.95,400.0,160657,147830
2000-01-09 09:25:00.58,ANON009.SH,9.95,400.0,166493,147830
2000-01-09 09:25:00.58,ANON009.SH,9.95,200.0,166493,96269
2000-01-09 09:25:00.58,ANON009.SH,9.95,400.0,166493,56129
2000-01-09 09:25:00.58,ANON009.SH,9.95,800.0,166493,160611
2000-01-09 09:25:00.58,ANON009.SH,9.95,200.0,166493,164419
2000-01-09 09:25:00.58,ANON009.SH,9.95,800.0,166105,164419
2000-01-09 09:25:00.58,ANON009.SH,9.95,2000.0,166105,136091
2000-01-09 09:25:00.58,ANON009.SH,9.95,500.0,166105,144252
2000-01-09 09:25:00.58,ANON009.SH,9.95,100.0,166191,144252
2000-01-09 09:25:00.58,ANON009.SH,9.95,1100.0,166191,157663
2000-01-09 09:25:00.58,ANON009.SH,9.95,900.0,166191,29307
2000-01-09 09:25:00.58,ANON009.SH,9.95,200.0,166191,135598
2000-01-09 09:25:00.58,ANON009.SH,9.95,100.0,166191,23061
2000-01-09 09:30:01.42,ANON009.SH,9.88,100.0,140214,0
2000-01-09 09:30:01.61,ANON009.SH,9.95,1000.0,174792,23061
2000-01-09 09:30:01.64,ANON009.SH,9.93,500.0,171467,175053
2000-01-09 09:30:01.64,ANON009.SH,9.92,1100.0,147336,175053
2000-01-09 09:30:01.85,ANON009.SH,9.92,500.0,176836,175053
2000-01-09 09:30:02.01,ANON009.SH,9.92,400.0,179138,175053
2000-01-09 09:30:02.01,ANON009.SH,9.88,100.0,143978,179155
2000-01-09 09:30:02.01,ANON009.SH,9.88,1000.0,156690,179155
2000-01-09 09:30:02.01,ANON009.SH,9.88,200.0,174023,179155
2000-01-09 09:30:02.01,ANON009.SH,9.87,200.0,145823,179155
2000-01-09 09:30:02.01,ANON009.SH,9.87,2500.0,176357,179155
2000-01-09 09:30:02.17,ANON009.SH,9.91,1200.0,179297,180606
2000-01-09 09:30:02.17,ANON009.SH,9.87,3100.0,176357,180606
2000-01-09 09:30:02.9,ANON009.SH,9.86,100.0,128021,0
2000-01-09 09:30:02.9,ANON009.SH,10.87,5000.0,0,81652
2000-01-09 09:30:03.06,ANON009.SH,9.87,200.0,190641,180606
2000-01-09 09:30:03.35,ANON009.SH,9.87,100.0,195462,180606
2000-01-09 09:30:03.5,ANON009.SH,9.87,500.0,197006,180606
2000-01-09 09:30:03.67,ANON009.SH,10.86,2000.0,0,26972
2000-01-09 09:30:04.03,ANON009.SH,9.61,1300.0,110671,0
2000-01-09 09:30:04.35,ANON009.SH,9.87,100.0,205448,180606
2000-01-09 09:30:04.5,ANON009.SH,9.87,100.0,208491,180606
2000-01-09 09:30:05.24,ANON009.SH,9.92,100.0,216845,175053
2000-01-09 09:30:05.36,ANON009.SH,9.92,7400.0,217670,175053
2000-01-09 09:30:05.36,ANON009.SH,9.92,1000.0,217670,191929
2000-01-09 09:30:05.36,ANON009.SH,9.92,1000.0,217670,209001
2000-01-09 09:30:05.36,ANON009.SH,9.92,200.0,217670,212244
2000-01-09 09:30:05.36,ANON009.SH,9.92,300.0,217670,212273
2000-01-09 09:30:05.36,ANON009.SH,9.92,100.0,217670,212312
2000-01-09 09:30:05.36,ANON009.SH,9.94,100.0,217670,182447
2000-01-09 09:30:05.36,ANON009.SH,9.94,300.0,217670,198895
2000-01-09 09:30:05.36,ANON009.SH,9.94,100.0,217670,207974
2000-01-09 09:30:05.36,ANON009.SH,9.95,1900.0,217670,23061
2000-01-09 09:30:05.36,ANON009.SH,9.95,700.0,217670,194435
2000-01-09 09:30:05.68,ANON009.SH,9.95,400.0,217670,221406
2000-01-09 09:30:05.68,ANON009.SH,9.95,100.0,217670,221415
2000-01-09 09:30:05.68,ANON009.SH,9.95,200.0,217670,221452
2000-01-09 09:30:05.68,ANON009.SH,9.95,300.0,217670,221658
2000-01-09 09:30:05.68,ANON009.SH,10.13,25500.0,0,118478
2000-01-09 09:30:05.99,ANON009.SH,9.95,100.0,217670,225174
2000-01-09 09:30:06.3,ANON009.SH,9.96,100.0,225181,229252
2000-01-09 09:30:06.3,ANON009.SH,9.95,1900.0,217670,229252
2000-01-09 09:30:06.3,ANON009.SH,9.95,100.0,217670,229366
2000-01-09 09:30:06.3,ANON009.SH,9.95,500.0,217670,229367
2000-01-09 09:30:06.46,ANON009.SH,9.95,1500.0,217670,230894
2000-01-09 09:30:06.46,ANON009.SH,9.95,100.0,217670,231508
2000-01-09 09:30:06.94,ANON009.SH,9.97,300.0,236020,57169
2000-01-09 09:30:06.94,ANON009.SH,9.97,300.0,236020,202385
2000-01-09 09:30:06.94,ANON009.SH,9.98,400.0,236020,170510
2000-01-09 09:30:07.37,ANON009.SH,9.95,100.0,217670,242324
2000-01-09 09:30:07.92,ANON009.SH,9.95,200.0,217670,248509
2000-01-09 09:30:08.07,ANON009.SH,9.95,300.0,217670,250075
2000-01-09 09:30:08.07,ANON009.SH,9.95,300.0,217670,250468
2000-01-09 09:30:08.67,ANON009.SH,9.95,500.0,217670,255872
2000-01-09 09:30:08.82,ANON009.SH,9.95,200.0,217670,258522
2000-01-09 09:30:08.92,ANON009.SH,9.95,2300.0,217670,259007
2000-01-09 09:30:08.92,ANON009.SH,9.95,200.0,217670,260282
2000-01-09 09:30:09.21,ANON009.SH,9.95,100.0,217670,262208
2000-01-09 09:30:09.21,ANON009.SH,9.95,100.0,238788,262208
2000-01-09 09:30:09.26,ANON009.SH,9.95,100.0,238788,263837
2000-01-09 09:30:09.26,ANON009.SH,9.95,100.0,238788,263864
2000-01-09 09:30:09.4,ANON009.SH,9.95,900.0,238788,264289
2000-01-09 09:30:09.4,ANON009.SH,9.95,400.0,241381,264289
2000-01-09 09:30:09.4,ANON009.SH,9.95,100.0,243969,264289
2000-01-09 09:30:09.4,ANON009.SH,9.95,100.0,243969,265243
2000-01-09 09:30:09.55,ANON009.SH,9.95,100.0,243969,266160
2000-01-09 09:30:09.55,ANON009.SH,9.88,300.0,238948,0
2000-01-09 09:30:09.65,ANON009.SH,9.95,200.0,256443,267912
2000-01-09 09:30:09.65,ANON009.SH,9.95,300.0,256443,267972
2000-01-09 09:30:09.87,ANON009.SH,9.95,100.0,256443,270681
2000-01-09 09:30:10.01,ANON009.SH,9.95,100.0,256443,272327
2000-01-09 09:30:10.01,ANON009.SH,9.92,400.0,252458,0
2000-01-09 09:30:10.27,ANON009.SH,9.95,1500.0,256443,274032
2000-01-09 09:30:10.27,ANON009.SH,9.95,500.0,269544,274032
2000-01-09 09:30:10.36,ANON009.SH,9.93,300.0,246455,275287
2000-01-09 09:30:10.49,ANON009.SH,9.93,100.0,246455,277368
2000-01-09 09:30:11.34,ANON009.SH,9.96,3500.0,283808,286299
2000-01-09 09:30:11.34,ANON009.SH,9.95,400.0,285636,286299
2000-01-09 09:30:12.19,ANON009.SH,9.87,300.0,273768,0
2000-01-09 09:30:12.21,ANON009.SH,9.87,1000.0,273772,0
2000-01-09 09:30:12.52,ANON009.SH,9.95,9400.0,0,288632
2000-01-09 09:30:13.27,ANON009.SH,9.87,800.0,212462,0
2000-01-09 09:30:13.84,ANON009.SH,9.88,100.0,265383,0
2000-01-09 09:30:15.17,ANON009.SH,9.96,100.0,0,293125
2000-01-09 09:30:15.79,ANON009.SH,9.93,100.0,246455,308260
2000-01-09 09:30:15.86,ANON009.SH,9.93,100.0,246455,308509
2000-01-09 09:30:17.02,ANON009.SH,9.92,200.0,221291,313025
2000-01-09 09:30:17.02,ANON009.SH,9.92,100.0,221294,313025
2000-01-09 09:30:17.05,ANON009.SH,9.88,100.0,285214,0
2000-01-09 09:30:17.54,ANON009.SH,9.92,900.0,221295,315153
2000-01-09 09:30:17.54,ANON009.SH,9.92,100.0,221296,315153
2000-01-09 09:30:17.54,ANON009.SH,9.92,100.0,221297,315153
2000-01-09 09:30:17.54,ANON009.SH,9.92,100.0,221300,315153
2000-01-09 09:30:17.76,ANON009.SH,9.87,500.0,288800,0
2000-01-09 09:30:18.88,ANON009.SH,9.93,400.0,317580,320287
2000-01-09 09:30:18.97,ANON009.SH,9.93,400.0,317580,320570
2000-01-09 09:30:18.97,ANON009.SH,9.93,500.0,318957,320570
2000-01-09 09:30:18.97,ANON009.SH,9.92,100.0,221300,320570
2000-01-09 09:30:18.97,ANON009.SH,9.92,400.0,221301,320570
2000-01-09 09:30:18.97,ANON009.SH,9.92,300.0,221302,320570
2000-01-09 09:30:18.97,ANON009.SH,9.92,900.0,221304,320570
2000-01-09 09:30:18.97,ANON009.SH,9.92,400.0,221305,320570
2000-01-09 09:30:18.97,ANON009.SH,9.92,200.0,221322,320570
2000-01-09 09:30:18.97,ANON009.SH,9.92,100.0,240456,320570
2000-01-09 09:30:18.97,ANON009.SH,9.92,400.0,244391,320571
2000-01-09 09:30:18.97,ANON009.SH,9.92,2800.0,259435,320571
2000-01-09 09:30:19.03,ANON009.SH,9.97,1900.0,0,294600
2000-01-09 09:30:19.51,ANON009.SH,9.94,200.0,322909,300813
2000-01-09 09:30:19.51,ANON009.SH,9.94,100.0,322909,305530
2000-01-09 09:30:19.51,ANON009.SH,9.94,100.0,322909,313119
2000-01-09 09:30:19.51,ANON009.SH,9.94,100.0,322909,313128
2000-01-09 09:30:19.63,ANON009.SH,9.93,300.0,321275,323349
2000-01-09 09:30:19.96,ANON009.SH,9.93,100.0,321275,324800
2000-01-09 09:30:19.96,ANON009.SH,9.93,1600.0,321275,324801
2000-01-09 09:30:19.96,ANON009.SH,9.93,500.0,322649,324801
2000-01-09 09:30:19.96,ANON009.SH,9.93,1700.0,323245,324801
2000-01-09 09:30:20.09,ANON009.SH,9.93,100.0,325275,324801
2000-01-09 09:30:20.13,ANON009.SH,9.93,1000.0,325275,325463
2000-01-09 09:30:20.13,ANON009.SH,9.92,1200.0,259435,325463
2000-01-09 09:30:20.13,ANON009.SH,9.92,100.0,313537,325463
2000-01-09 09:30:20.38,ANON009.SH,9.93,300.0,325973,326940
2000-01-09 09:30:20.84,ANON009.SH,10.0,100.0,0,290157
2000-01-09 09:30:20.84,ANON009.SH,10.0,100.0,0,290551
2000-01-09 09:30:21.38,ANON009.SH,9.93,300.0,331979,331547
2000-01-09 09:30:21.5,ANON009.SH,9.93,300.0,331979,332401
2000-01-09 09:30:21.75,ANON009.SH,9.7,1000.0,143192,0
2000-01-09 09:30:21.98,ANON009.SH,9.92,300.0,334375,333026
2000-01-09 09:30:21.98,ANON009.SH,9.97,100.0,0,300066
2000-01-09 09:30:21.98,ANON009.SH,9.97,100.0,0,300111
2000-01-09 09:30:21.98,ANON009.SH,9.97,100.0,0,300109
2000-01-09 09:30:21.98,ANON009.SH,9.92,600.0,0,332569
2000-01-09 09:30:21.98,ANON009.SH,9.92,400.0,0,332576
2000-01-09 09:30:21.98,ANON009.SH,9.92,200.0,0,332545
2000-01-09 09:30:21.98,ANON009.SH,9.97,100.0,0,300221
2000-01-09 09:30:22.41,ANON009.SH,9.92,500.0,336456,333026
2000-01-09 09:30:22.56,ANON009.SH,9.94,1900.0,0,327338
2000-01-09 09:30:22.64,ANON009.SH,9.93,3500.0,0,332401
2000-01-09 09:30:22.64,ANON009.SH,9.93,300.0,0,333437
2000-01-09 09:30:22.67,ANON009.SH,9.9,100.0,337040,337688
2000-01-09 09:30:22.67,ANON009.SH,9.9,100.0,337517,337688
2000-01-09 09:30:22.67,ANON009.SH,9.9,300.0,337519,337688
2000-01-09 09:30:22.67,ANON009.SH,9.9,200.0,337529,337688
2000-01-09 09:30:22.67,ANON009.SH,9.9,600.0,337560,337688
2000-01-09 09:30:22.67,ANON009.SH,9.9,100.0,337573,337688
2000-01-09 09:30:22.67,ANON009.SH,9.89,100.0,220897,337688
2000-01-09 09:30:22.67,ANON009.SH,9.89,300.0,228432,337688
2000-01-09 09:30:22.67,ANON009.SH,9.89,200.0,228961,337688
2000-01-09 09:30:22.67,ANON009.SH,9.92,800.0,337718,333026
2000-01-09 09:30:22.72,ANON009.SH,10.87,3800.0,0,261174
2000-01-09 09:30:22.88,ANON009.SH,9.93,300.0,0,337706
2000-01-09 09:30:22.99,ANON009.SH,9.89,100.0,228961,339061
2000-01-09 09:30:23.35,ANON009.SH,9.92,200.0,340757,333026
2000-01-09 09:30:23.58,ANON009.SH,9.98,100.0,0,269521
2000-01-09 09:30:23.78,ANON009.SH,9.92,5100.0,0,333026
2000-01-09 09:30:23.82,ANON009.SH,9.93,100.0,342761,335748
2000-01-09 09:30:23.82,ANON009.SH,9.93,100.0,342761,335789
2000-01-09 09:30:23.82,ANON009.SH,9.93,100.0,342761,335791
2000-01-09 09:30:23.82,ANON009.SH,9.93,100.0,342761,335892
2000-01-09 09:30:23.82,ANON009.SH,9.93,100.0,342761,336047
2000-01-09 09:30:25.69,ANON009.SH,9.92,100.0,350774,343327
2000-01-09 09:30:26.14,ANON009.SH,9.92,400.0,350774,352328
2000-01-09 09:30:26.45,ANON009.SH,9.87,200.0,240081,0
2000-01-09 09:30:26.45,ANON009.SH,9.87,100.0,240082,0
2000-01-09 09:30:26.45,ANON009.SH,9.87,100.0,250902,0
2000-01-09 09:30:26.45,ANON009.SH,9.89,200.0,243085,0
2000-01-09 09:30:26.45,ANON009.SH,9.87,100.0,240084,0
2000-01-09 09:30:26.45,ANON009.SH,9.87,100.0,254899,0
2000-01-09 09:30:26.45,ANON009.SH,9.87,100.0,240083,0
2000-01-09 09:30:26.45,ANON009.SH,9.87,100.0,240085,0
2000-01-09 09:30:26.45,ANON009.SH,9.87,200.0,240148,0
2000-01-09 09:30:26.45,ANON009.SH,9.89,100.0,238311,0
2000-01-09 09:30:27.42,ANON009.SH,9.93,200.0,356506,336047
2000-01-09 09:30:27.48,ANON009.SH,9.93,300.0,356778,336047
2000-01-09 09:30:27.48,ANON009.SH,9.93,200.0,356778,342909
2000-01-09 09:30:27.97,ANON009.SH,9.93,100.0,358128,342909
2000-01-09 09:30:28.03,ANON009.SH,9.93,200.0,358254,342909
2000-01-09 09:30:28.37,ANON009.SH,9.93,400.0,359291,342909
2000-01-09 09:30:28.45,ANON009.SH,9.93,300.0,359566,342909
2000-01-09 09:30:28.63,ANON009.SH,9.9,300.0,351396,0
2000-01-09 09:30:28.63,ANON009.SH,9.9,300.0,356390,0
2000-01-09 09:30:29.21,ANON009.SH,9.93,3800.0,0,342909
2000-01-09 09:30:29.77,ANON009.SH,9.93,100.0,363653,360152
2000-01-09 09:30:29.77,ANON009.SH,9.93,100.0,363653,360153
2000-01-09 09:30:30.95,ANON009.SH,9.93,100.0,367666,360154
2000-01-09 09:30:31.75,ANON009.SH,9.94,100.0,370626,313131
2000-01-09 09:30:31.75,ANON009.SH,9.94,100.0,370626,313141
2000-01-09 09:30:31.75,ANON009.SH,9.94,100.0,370626,313145
2000-01-09 09:30:31.75,ANON009.SH,9.94,100.0,370626,313156
2000-01-09 09:30:31.78,ANON009.SH,9.94,100.0,370672,313185
2000-01-09 09:30:31.92,ANON009.SH,9.87,1000.0,273769,0
2000-01-09 09:30:31.92,ANON009.SH,9.95,1200.0,0,293412
2000-01-09 09:30:32.27,ANON009.SH,9.95,100.0,372342,300494
2000-01-09 09:30:32.27,ANON009.SH,9.95,100.0,372342,300537
2000-01-09 09:30:32.75,ANON009.SH,9.94,300.0,370672,374011
2000-01-09 09:30:32.75,ANON009.SH,9.94,100.0,372869,374011
2000-01-09 09:30:32.75,ANON009.SH,9.93,700.0,367666,374011
2000-01-09 09:30:32.75,ANON009.SH,9.93,100.0,369810,374011
2000-01-09 09:30:32.75,ANON009.SH,9.93,200.0,370454,374011
2000-01-09 09:30:32.75,ANON009.SH,9.93,500.0,370640,374011
2000-01-09 09:30:34.64,ANON009.SH,9.92,100.0,360101,380237
2000-01-09 09:30:34.96,ANON009.SH,9.92,100.0,360101,381287
2000-01-09 09:30:34.96,ANON009.SH,9.92,100.0,360101,381288
2000-01-09 09:30:34.96,ANON009.SH,9.87,400.0,247532,0
2000-01-09 09:30:35.22,ANON009.SH,9.92,200.0,0,381338
2000-01-09 09:30:35.43,ANON009.SH,9.95,100.0,0,300551
